customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,ChargeIncreaseRatio,TenureGroup,IsNewCustomer,ServiceCount,HasInternet,HasPhone,IsFiber,HasStreaming,HasSupportBundle,IsMonthToMonth,IsAutoPay,IsElectronicCheck,HasFamily,ChurnNumeric,ChurnProbability,PredictedChurn,ChurnRiskCohort
4102-OQUPX,Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,74.4,Yes,74.4,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,1,1,0.9869185856208744,1,High Risk (>=70%)
9300-AGZNL,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.0,94.0,Yes,94.0,1.0,New (0-6),1,2,1,1,1,1,0,1,0,1,0,1,0.9853950748054162,1,High Risk (>=70%)
9497-QCMMS,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,93.55,Yes,93.55,1.0,New (0-6),1,2,1,1,1,1,0,1,0,1,0,1,0.9853950748054162,1,High Risk (>=70%)
9124-LHCJQ,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.45,85.45,Yes,85.45,1.0,New (0-6),1,1,1,1,1,1,0,1,0,0,0,1,0.9837318152162308,1,High Risk (>=70%)
8149-RSOUN,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,93.85,Yes,93.85,1.0,New (0-6),1,2,1,1,1,1,0,1,0,1,0,1,0.9823383541030688,1,High Risk (>=70%)
7254-IQWOZ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.65,69.65,Yes,69.65,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9823096630835437,1,High Risk (>=70%)
6502-MJQAE,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,Yes,69.6,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9823096630835437,1,High Risk (>=70%)
3428-XZMAZ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,69.35,Yes,69.35,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9815993492560499,1,High Risk (>=70%)
6457-GIRWB,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,69.35,Yes,69.35,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9815993492560499,1,High Risk (>=70%)
0488-GSLFR,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.5,69.5,Yes,69.5,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9815624486594345,1,High Risk (>=70%)
1820-TQVEV,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,Yes,69.55,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9814986796863536,1,High Risk (>=70%)
5875-YPQFJ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,Yes,69.9,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9812667534368257,1,High Risk (>=70%)
9804-ICWBG,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,Yes,69.9,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9812667534368257,1,High Risk (>=70%)
5542-TBBWB,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,No,69.9,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,0,0.9812667534368257,1,High Risk (>=70%)
7665-TOALD,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,Yes,69.6,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9810179588110721,1,High Risk (>=70%)
4510-HIMLV,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,69.8,Yes,69.8,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9808323740825786,1,High Risk (>=70%)
4603-JANFB,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.85,69.85,Yes,69.85,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9805452330089209,1,High Risk (>=70%)
7660-HDPJV,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.2,69.2,Yes,69.2,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.980471041182485,1,High Risk (>=70%)
9728-FTTVZ,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.2,69.2,Yes,69.2,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.980471041182485,1,High Risk (>=70%)
9019-QVLZD,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.55,79.55,Yes,79.55,1.0,New (0-6),1,1,1,1,1,1,0,1,0,1,0,1,0.9804083392952443,1,High Risk (>=70%)
0495-RVCBF,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.7,79.7,Yes,79.7,1.0,New (0-6),1,1,1,1,1,1,0,1,0,1,0,1,0.9802061170813412,1,High Risk (>=70%)
1447-GIQMR,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.15,69.15,Yes,69.15,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,1,1,0.9800828509684969,1,High Risk (>=70%)
0723-DRCLG,Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,74.45,Yes,74.45,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,1,1,0.9799954199576172,1,High Risk (>=70%)
4695-WJZUE,Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.55,179.25,Yes,89.625,0.9880055788005578,New (0-6),1,2,1,1,1,1,1,1,0,1,0,1,0.9793985126897794,1,High Risk (>=70%)
4550-EVXNY,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.65,69.65,Yes,69.65,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,1,1,0.9792491161631076,1,High Risk (>=70%)
4910-GMJOT,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.6,94.6,Yes,94.6,1.0,New (0-6),1,2,1,1,1,1,0,1,0,1,0,1,0.9789626326023474,1,High Risk (>=70%)
6567-HOOPW,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.2,79.2,Yes,79.2,1.0,New (0-6),1,1,1,1,1,1,0,1,0,1,0,1,0.9780004850466572,1,High Risk (>=70%)
4871-JTKJF,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.65,69.65,Yes,69.65,1.0,New (0-6),1,0,1,1,1,0,0,1,0,1,0,1,0.9772442706444059,1,High Risk (>=70%)
